Date,Category,Amount
1-1-2024,Food,2045
2-1-2024,Transport,1123
3-1-2024,Entertainment,3587
4-1-2024,Books,1521
5-1-2024,Food,3150
6-1-2024,Other,782
7-1-2024,Transport,2150
8-1-2024,Food,2700
9-1-2024,Books,1340
10-1-2024,Entertainment,4050
11-1-2024,Food,2100
12-1-2024,Transport,1270
1-1-2025,Other,1800
2-1-2025,Entertainment,2485
3-1-2025,Books,700
4-1-2025,Transport,1995
5-1-2025,Food,2540
6-1-2025,Other,1335
7-1-2025,Entertainment,3120
8-1-2025,Books,1105
9-1-2025,Food,3300
10-1-2025,Transport,2890
11-1-2025,Other,1590
12-1-2025,Entertainment,3850
1-1-2025,Books,1350
2-1-2024,Other,950
3-1-2024,Transport,2530
4-1-2024,Entertainment,2700
5-1-2024,Food,3050
6-1-2024,Books,1400
7-1-2024,Transport,1600
8-1-2024,Other,1725
9-1-2024,Entertainment,3400
10-1-2024,Food,2750
11-1-2024,Books,1250
12-1-2024,Transport,2300
1-1-2025,Other,650
2-1-2025,Food,2650
3-1-2025,Entertainment,2800
4-1-2025,Books,1150
5-1-2025,Transport,1800
6-1-2025,Food,2430
7-1-2025,Other,980
8-1-2025,Entertainment,3590
9-1-2025,Books,1255
10-1-2025,Transport,2355
11-1-2025,Other,950
12-1-2025,Entertainment,3580
1-1-2025,Food,2200
2-1-2024,Transport,1185
3-1-2024,Entertainment,3250
4-1-2024,Food,2150
5-1-2024,Books,1290
6-1-2024,Entertainment,3800
7-1-2024,Food,2900
8-1-2024,Transport,2280
9-1-2024,Books,1450
10-1-2024,Food,2315
11-1-2024,Other,1650
12-1-2024,Transport,2590
1-1-2025,Entertainment,2935
2-1-2025,Books,1125
3-1-2025,Food,2750
4-1-2025,Transport,2455
5-1-2025,Other,1205
6-1-2025,Entertainment,3500
7-1-2025,Food,2080
8-1-2025,Transport,1710
9-1-2025,Books,1380
10-1-2025,Food,2620
11-1-2025,Other,1165
12-1-2025,Entertainment,3405
1-1-2025,Books,1225
2-1-2024,Food,2400
3-1-2024,Entertainment,3100
4-1-2024,Other,740
5-1-2024,Books,1050
6-1-2024,Transport,2200
7-1-2024,Food,2505
8-1-2024,Entertainment,2900
9-1-2024,Books,1220
10-1-2024,Transport,1675
11-1-2024,Other,1375
12-1-2024,Food,2105
1-1-2025,Books,1300
